Nombre,EjeMayor,PeriodoDias,Excentricidad
Kepler-106_c,0.111348,13.5708,0
Kepler-113_b,0.0502736,4.754,0
HD_142415_b,1.06061,386.29999,0.5
CoRoT-9_b,0.406991,95.2738,0.11
HD_114386_b,1.72685,937.70001,0.23
HD_103197_b,0.249018,47.84,0
7_CMa_b,1.80264,763,0.14
Kepler-368_b,0.175473,26.84768,
Kepler-335_b,0.0685981,6.562331,
WASP-16_b,0.0417858,3.1186009,0
Kepler-316_b,0.0335097,2.240508,
HD_152581_b,1.48938,689,0
KIC_11442793_h,0.996347,331.60059,
Kepler-103_b,0.127704,15.9654,0
Kepler-338_b,0.112199,13.726976,
Kepler-129_b,0.123186,15.79186,
PH-1_b,0.629412,138.506,0.0539
Kepler-306_d,0.131044,17.326644,
Kepler-37_d,0.212021,39.792187,0.102489
HD_13908_c,2.03386,931,0.12
HD_125595_b,0.0809437,9.6737,0
WASP-79_b,0.0534741,3.6623817,0
Kepler-107_b,0.0423212,3.179997,
Kepler-109_c,0.151991,21.2227,0
HIP_57274_c,0.177758,32.03,0.05
Kepler-30_d,0.534239,143.343,0.022
Kepler-158_c,0.18282,28.551383,
HD_93083_b,0.476549,143.58,0.14
HD_31253_b,1.26054,466,0.3
Kepler-357_c,0.128672,16.85837,
HD_89744_b,0.902604,256.78,0.673
HD_183263_c,4.29488,3066,0.23873
WASP-42_b,0.0547344,4.9816877,0
Kepler-53_d,0.0893308,9.751962,
Kepler-48_b,0.0532027,4.778,0
HD_192310_c,1.18358,525.8,0.32
HD_1690_b,1.36191,533,0.64
HAT-P-41_b,0.0425775,2.694047,0
Kepler-42_c,0.00585017,0.45328509,
HD_28185_b,1.02341,379,0.05
HD_23127_b,2.31864,1214,0.44
HD_154672_b,0.598618,163.94,0.61
Kepler-275_d,0.212092,35.676062,
Kepler-52_b,0.0630945,7.8773565,
OGLE-TR-10_b,0.0434856,3.10129,0
Kepler-370_b,0.0539702,4.57953,
gamma_Leo_A_b,1.29554,428.5,0.144
NN_Ser_c,6.15467,5571,0.22
HAT-P-2_b,0.0679088,5.6334729,0.5171
HAT-P-24_b,0.0465021,3.35524,0.067
HD_11506_b,2.60488,1405,0.3
tau_Boo_b,0.0480039,3.312433,0.023
Kepler-124_c,0.112713,13.821375,
Kepler-184_c,0.145651,20.303005,
HD_34445_b,2.06642,1049,0.27
Kepler-318_b,0.0546218,4.662715,
OGLE-2007-BLG-368L_b,,,
HD_125612_b,1.3728,559.40487,0.45899
Kepler-20_f,0.137859,19.57706,0
Kepler-198_b,0.13337,17.790037,
42_Dra_b,1.16693,479.1,0.38
Kepler-216_b,0.0762713,7.693641,
Kepler-292_d,0.0719945,7.055679,
Kepler-53_b,0.136705,18.6489525,
Kepler-11_b,0.0914497,10.3039,0.045
HD_153950_b,1.28031,499.4,0.34
Kepler-69_b,0.104565,13.722341,0.16
Kepler-27_c,0.168484,31.3309,0
HD_16141_b,0.355656,75.523,0.252
Kepler-221_c,0.0623799,5.690586,
Kepler-7_b,0.0622369,4.885525,0
HIP_91258_b,0.0566534,5.0505,0.024
WASP-24_b,0.0365155,2.3412127,0
HAT-P-29_b,0.0666842,5.723186,0.095
Kepler-38_b,0.429659,105.595,0
HD_204313_d,3.94498,2831.6,0.28
PSR_B1257+12_B,0.321369,66.5419,0.0186
Kepler-147_b,0.10603,12.610584,
HD_50554_b,2.26097,1224,0.444
HD_11964_c,0.226601,37.910254,0.301733
Kepler-79_d,0.272969,52.09059,
Kepler-344_c,0.490824,125.596809,
HD_13189_b,1.25186,471.6,0.27
HD_60532_b,0.759258,201.3,0.28
HAT-P-11_b,0.0525443,4.8878162,0.198
Kepler-406_b,0.0361437,2.42629,0
Kepler-171_b,0.0506781,4.166972,
Kepler-330_b,0.0799685,8.25978,
HD_104067_b,0.264333,55.806,0
Kepler-229_b,0.0664249,6.252972,
Kepler-144_c,0.0914719,10.104665,
HD_20794_b,0.120738,18.315,0
Kepler-94_b,0.033677,2.50806,0
Kepler-115_c,0.0846204,8.990889,
Kepler-320_c,0.134093,17.934937,
HD_195019_b,0.136688,18.20132,0.0138
Kepler-274_c,0.202153,33.197861,
GJ_832_b,3.4032,3416,0.12
Kepler-26_e,0.254259,46.827915,
GJ_667_C_b,0.0504235,7.199,0.09
